P1,1.0,P2,2.0,P3,3.0,T1,0.9370074981849267,T2,0.3799266364262864,T3,1.7774972625273469,FIT,538508.5043988061

P1,1.0,P2,3.0,P3,2.0,T1,1.0505577248309221,T2,2.5214726523016813,T3,1.416737779476633,FIT,527205.6942031286

P1,1.0,P2,3.0,P3,2.0,T1,2.04943033154283,T2,1.604297450821355,T3,0.19811302590857532,FIT,530095.6211360336

P1,2.0,P2,1.0,P3,3.0,T1,0.4926236413824368,T2,2.683220506092115,T3,1.8795505295426804,FIT,527186.050591694

P1,2.0,P2,1.0,P3,3.0,T1,1.8499562840935424,T2,1.6696055233041456,T3,1.204013204881438,FIT,527632.5604267878

P1,1.0,P2,3.0,P3,2.0,T1,1.2791307973403905,T2,0.9460646096729366,T3,2.5453501663651004,FIT,524282.40696995985

P1,1.0,P2,2.0,P3,3.0,T1,2.063093656310646,T2,0.8618333173678961,T3,1.5847230039378646,FIT,527766.9585374048

P1,1.0,P2,2.0,P3,3.0,T1,1.2869281609184502,T2,2.2885848907439836,T3,1.160278537786888,FIT,526614.5961027538

P1,1.0,P2,2.0,P3,3.0,T1,1.955111400618202,T2,2.256500743560921,T3,2.3097777900853043,FIT,533104.8919755927

P1,1.0,P2,3.0,P3,2.0,T1,2.6781094957270057,T2,1.968383591756741,T3,2.880742501902413,FIT,548236.8885794263

