ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 35.97162985801697,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 35.878209352493286,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 36.07943105697632,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 36.07319092750549,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 36.21518921852112,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 35.931275367736816,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 35.70299553871155,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 36.16352105140686,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.7616553490654616, T2:1.513698843596256, T3:0.8351859648003622, FIT:529533.6945442434, Tiempo de iteracion: 36.26818633079529,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.742329893379081, T2:1.5116836991520965, T3:0.828242512235148, FIT:529402.411070509, Tiempo de iteracion: 36.225465297698975,
