CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.1249574157752178, T2: 2.401844307633338, T3: 2.5477991901196546, FIT: 540151.7694049063, Tiempo de Poblacion: 15.94480586051941,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.060355171683435085, T2: 0.08603094053096474, T3: 0.0971427872303991, FIT: 573730.2920478677, Tiempo de Poblacion: 5.1443798542022705,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.424146678813318, T2: 1.6321167728671115, T3: 0.7366221346678069, FIT: 531526.3673854518, Tiempo de Poblacion: 5.179330110549927,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.7194864281457718, T2: 0.7174159923527439, T3: 1.175144220081968, FIT: 542098.0778704513, Tiempo de Poblacion: 5.229313850402832,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.9202213487301365, T2: 1.137933202187028, T3: 0.5349964699187362, FIT: 535541.5365504697, Tiempo de Poblacion: 5.191369295120239,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.079073179953102, T2: 0.7579303496381721, T3: 1.7560855602636607, FIT: 541342.4335247446, Tiempo de Poblacion: 5.212363004684448,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.670209400678997, T2: 2.486921510928284, T3: 1.024247657563576, FIT: 540648.0615867929, Tiempo de Poblacion: 5.341355562210083,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.38638522798861163, T2: 1.3325837900038606, T3: 0.9722401870647536, FIT: 547742.5296032432, Tiempo de Poblacion: 5.1243486404418945,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.27545774096373177, T2: 0.46014371425381195, T3: 1.871466860285314, FIT: 546373.3867698241, Tiempo de Poblacion: 5.055365800857544,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.209086090313563, T2: 1.7194680544925895, T3: 0.1961531965336023, FIT: 531451.5342529389, Tiempo de Poblacion: 5.24244499206543,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.209086090313563, T2:1.7194680544925895, T3:0.1961531965336023, FIT:531451.5342529389, Tiempo de iteracion: 33.67953824996948,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.903000596691466, T2:1.141104095491568, T3:0.5339801136216806, FIT:531212.8171242069, Tiempo de iteracion: 33.55767560005188,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.903000596691466, T2:1.141104095491568, T3:0.5339801136216806, FIT:531212.8171242069, Tiempo de iteracion: 32.700645446777344,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.903000596691466, T2:1.141104095491568, T3:0.5339801136216806, FIT:531212.8171242069, Tiempo de iteracion: 41.371910572052,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.903000596691466, T2:1.141104095491568, T3:0.5339801136216806, FIT:531212.8171242069, Tiempo de iteracion: 38.75676417350769,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.9098049131339927, T2:1.1385719720693288, T3:0.5280124122539356, FIT:531198.6532505158, Tiempo de iteracion: 35.81576228141785,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.9098049131339927, T2:1.1385719720693288, T3:0.5280124122539356, FIT:531198.6532505158, Tiempo de iteracion: 38.61110806465149,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.440999272469818, T2:1.7243442071135606, T3:0.7458745962368997, FIT:531136.1600246324, Tiempo de iteracion: 36.3706316947937,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.95058878282594, T2:1.1429863877369733, T3:0.5265396256819584, FIT:530814.971560313, Tiempo de iteracion: 36.276166677474976,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.95058878282594, T2:1.1429863877369733, T3:0.5265396256819584, FIT:530814.971560313, Tiempo de iteracion: 35.48254132270813,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.95058878282594, T2:1.1429863877369733, T3:0.5265396256819584, FIT:530814.971560313, Tiempo de iteracion: 35.500974893569946,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.95058878282594, T2:1.1429863877369733, T3:0.5265396256819584, FIT:530814.971560313, Tiempo de iteracion: 36.643848180770874,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.95058878282594, T2:1.1429863877369733, T3:0.5265396256819584, FIT:530814.971560313, Tiempo de iteracion: 36.855220079422,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.95058878282594, T2:1.1429863877369733, T3:0.5265396256819584, FIT:530814.971560313, Tiempo de iteracion: 37.52221751213074,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.95058878282594, T2:1.1429863877369733, T3:0.5265396256819584, FIT:530814.971560313, Tiempo de iteracion: 35.20755696296692,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.481789253204959, T2:1.7134742442334676, T3:0.7658539760142763, FIT:530693.035308152, Tiempo de iteracion: 36.48055076599121,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.481789253204959, T2:1.7134742442334676, T3:0.7658539760142763, FIT:530693.035308152, Tiempo de iteracion: 35.62765288352966,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 37.4290566444397,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 37.980690002441406,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 36.01632738113403,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 36.7091383934021,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 36.8318076133728,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 39.09571981430054,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 36.95051860809326,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 39.527313232421875,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 40.8288688659668,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.484770120777751, T2:1.7254388226757134, T3:0.7634985997775443, FIT:530554.074722584, Tiempo de iteracion: 39.11141753196716,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.4910776796479506, T2:1.7304706177250386, T3:0.7705194004379824, FIT:530400.564727242, Tiempo de iteracion: 35.9980366230011,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.5425071076331, T2:1.708967633314651, T3:0.7708557684068295, FIT:530093.3717445631, Tiempo de iteracion: 35.37615370750427,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.5425071076331, T2:1.708967633314651, T3:0.7708557684068295, FIT:530093.3717445631, Tiempo de iteracion: 35.29841685295105,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.5487287192958488, T2:1.7379660622810822, T3:0.7282348076546481, FIT:529958.2972753384, Tiempo de iteracion: 35.12706708908081,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.5487287192958488, T2:1.7379660622810822, T3:0.7282348076546481, FIT:529958.2972753384, Tiempo de iteracion: 34.92921853065491,
