CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.0077373068394748, T2: 0.19092625411722136, T3: 0.6787103272816855, FIT: 553644.0261738612, Tiempo de Poblacion: 15.607818841934204,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.1952253044426577, T2: 1.5254944495938272, T3: 1.1999746585341506, FIT: 539984.2416963698, Tiempo de Poblacion: 5.403291940689087,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.6082319995627254, T2: 1.9421791463433176, T3: 1.758323016946637, FIT: 531889.9093140718, Tiempo de Poblacion: 5.449881553649902,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.301135221575576, T2: 1.387536848227817, T3: 0.3708267719813504, FIT: 541615.624559431, Tiempo de Poblacion: 5.410604476928711,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.6586298238826322, T2: 1.1626426084802093, T3: 0.07483869698457328, FIT: 552562.5401322601, Tiempo de Poblacion: 5.275108814239502,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.3112409338819714, T2: 0.1380367559823382, T3: 0.12258244435760247, FIT: 570218.1554853768, Tiempo de Poblacion: 5.364209413528442,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.4946082410386535, T2: 0.8081617233638605, T3: 2.2666882271628315, FIT: 536148.7789888458, Tiempo de Poblacion: 5.577676773071289,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.5427566593696638, T2: 1.0926582852020135, T3: 1.094502783973031, FIT: 539270.8321083939, Tiempo de Poblacion: 5.546509027481079,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.24461175072408, T2: 0.3594093462126573, T3: 2.4057767930411185, FIT: 529656.9758625568, Tiempo de Poblacion: 5.367210149765015,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.0546903059380275, T2: 0.14639549386633088, T3: 2.351612701069246, FIT: 531759.5270550823, Tiempo de Poblacion: 5.308501243591309,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 33.07573652267456,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 33.36779999732971,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 32.87169098854065,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 32.06900095939636,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 32.011377811431885,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 32.37042951583862,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 32.96482229232788,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.236520767211914,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 33.53950762748718,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 33.955219745635986,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.119884967803955,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.179006576538086,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.63861918449402,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.654213190078735,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.12152147293091,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.727853298187256,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.3597846031189,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 35.16298222541809,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.450764179229736,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.69515037536621,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.7168288230896,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.863338470458984,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.24461175072408, T2:0.3594093462126573, T3:2.4057767930411185, FIT:529656.9758625568, Tiempo de iteracion: 34.51183247566223,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.92570161819458,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.944087266922,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.252272605895996,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.70410895347595,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.46302127838135,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.3165123462677,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.955865144729614,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2527162581607405, T2:0.3569998940931947, T3:2.416611859838247, FIT:529612.978702741, Tiempo de iteracion: 34.6804039478302,
