CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.6590066424007996, T2: 0.2528416151876404, T3: 1.4309071291393956, FIT: 553967.4740437244, Tiempo de Poblacion: 14.81267523765564,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.46308173837685096, T2: 0.4724058808484454, T3: 1.0252597059079642, FIT: 565703.5876354602, Tiempo de Poblacion: 4.792672157287598,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.6662881514086342, T2: 1.242338350880804, T3: 2.4629456208859444, FIT: 545531.0720476252, Tiempo de Poblacion: 4.836827039718628,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.552767710280864, T2: 0.19794827622280126, T3: 2.6350338359573855, FIT: 547870.2325147764, Tiempo de Poblacion: 4.766693353652954,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.4818040499470455, T2: 2.346010230396537, T3: 1.3366653342705215, FIT: 553912.1449226186, Tiempo de Poblacion: 5.426662445068359,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.6736624349476622, T2: 2.114122865758774, T3: 1.5709338663370478, FIT: 542110.140862617, Tiempo de Poblacion: 4.778513193130493,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.403735361476859, T2: 2.2783059919308437, T3: 0.40478197051708653, FIT: 544611.6259177031, Tiempo de Poblacion: 5.3623621463775635,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.3576444616395606, T2: 1.7464819277296908, T3: 2.333936198903426, FIT: 539001.553548505, Tiempo de Poblacion: 4.817999362945557,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.7881660985552974, T2: 1.3140544062328037, T3: 2.3672189053456654, FIT: 544743.9434177912, Tiempo de Poblacion: 4.944763422012329,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.48647928766907, T2: 1.2011279434229472, T3: 1.896717247803811, FIT: 548449.909468481, Tiempo de Poblacion: 4.804625749588013,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.3576444616395606, T2:1.7464819277296908, T3:2.333936198903426, FIT:539001.553548505, Tiempo de iteracion: 32.85230088233948,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.3610948725639371, T2:1.75827080839221, T3:2.3338340441029213, FIT:537549.9111132739, Tiempo de iteracion: 32.60253357887268,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.3610948725639371, T2:1.75827080839221, T3:2.3338340441029213, FIT:537549.9111132739, Tiempo de iteracion: 33.452433347702026,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3610948725639371, T2:1.75827080839221, T3:2.3338340441029213, FIT:537549.9111132739, Tiempo de iteracion: 30.077492713928223,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3610948725639371, T2:1.75827080839221, T3:2.3338340441029213, FIT:537549.9111132739, Tiempo de iteracion: 31.16752529144287,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3610948725639371, T2:1.75827080839221, T3:2.3338340441029213, FIT:537549.9111132739, Tiempo de iteracion: 29.485002756118774,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3593309194010384, T2:1.7523687039603797, T3:2.325799456035212, FIT:537418.5227916711, Tiempo de iteracion: 30.337881088256836,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3593309194010384, T2:1.7523687039603797, T3:2.325799456035212, FIT:537418.5227916711, Tiempo de iteracion: 29.353407382965088,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3593309194010384, T2:1.7523687039603797, T3:2.325799456035212, FIT:537418.5227916711, Tiempo de iteracion: 29.90090298652649,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3593309194010384, T2:1.7523687039603797, T3:2.325799456035212, FIT:537418.5227916711, Tiempo de iteracion: 30.05682611465454,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:0.3593309194010384, T2:1.7523687039603797, T3:2.325799456035212, FIT:537418.5227916711, Tiempo de iteracion: 30.965877771377563,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.3521781960342072, T2:1.7549318043291202, T3:2.269447744738902, FIT:536913.1497184989, Tiempo de iteracion: 31.308944702148438,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.3521781960342072, T2:1.7549318043291202, T3:2.269447744738902, FIT:536913.1497184989, Tiempo de iteracion: 31.99725341796875,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.3521781960342072, T2:1.7549318043291202, T3:2.269447744738902, FIT:536913.1497184989, Tiempo de iteracion: 31.878904819488525,
