CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.1975514372061333, T2: 1.66331859392538, T3: 2.6795320585789177, FIT: 544179.8113097275, Tiempo de Poblacion: 14.869743347167969,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.772549585128974, T2: 1.7117422168156342, T3: 1.8705303518084189, FIT: 533031.8220824973, Tiempo de Poblacion: 4.897460222244263,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.449501923034164, T2: 2.29405745677693, T3: 1.4889515930341577, FIT: 533389.5530310934, Tiempo de Poblacion: 4.972959041595459,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.317819293674148, T2: 1.5837961421753737, T3: 0.7426480766316735, FIT: 528627.8240894789, Tiempo de Poblacion: 4.99571681022644,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.8686781926595392, T2: 0.7311804623154835, T3: 0.8290978357316383, FIT: 551017.8755977582, Tiempo de Poblacion: 4.931663751602173,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.6703725176376096, T2: 2.1361162461671435, T3: 1.5469552877279518, FIT: 530971.6884071607, Tiempo de Poblacion: 4.922422885894775,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.7957137665172894, T2: 2.1093916426660715, T3: 1.2917257142189977, FIT: 534931.6703572401, Tiempo de Poblacion: 5.008676767349243,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.1208731971387342, T2: 0.11973944557968894, T3: 2.203374394263621, FIT: 539678.8510750498, Tiempo de Poblacion: 4.8087921142578125,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5969061991888773, T2: 0.4228222082478273, T3: 1.704099056808617, FIT: 540376.8906791431, Tiempo de Poblacion: 4.773563385009766,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.1538644251817423, T2: 1.892862582887206, T3: 2.174993725392124, FIT: 540849.7750721377, Tiempo de Poblacion: 4.93666410446167,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.317819293674148, T2:1.5837961421753737, T3:0.7426480766316735, FIT:528627.8240894789, Tiempo de iteracion: 29.552536725997925,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.317819293674148, T2:1.5837961421753737, T3:0.7426480766316735, FIT:528627.8240894789, Tiempo de iteracion: 28.301952123641968,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.317819293674148, T2:1.5837961421753737, T3:0.7426480766316735, FIT:528627.8240894789, Tiempo de iteracion: 27.562228679656982,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.317819293674148, T2:1.5837961421753737, T3:0.7426480766316735, FIT:528627.8240894789, Tiempo de iteracion: 27.88873863220215,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.317819293674148, T2:1.5837961421753737, T3:0.7426480766316735, FIT:528627.8240894789, Tiempo de iteracion: 28.608225107192993,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.317819293674148, T2:1.5837961421753737, T3:0.7426480766316735, FIT:528627.8240894789, Tiempo de iteracion: 28.924924850463867,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.317819293674148, T2:1.5837961421753737, T3:0.7426480766316735, FIT:528627.8240894789, Tiempo de iteracion: 29.669053077697754,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.320231444805268, T2:1.5818703919054797, T3:0.744625065411672, FIT:528619.3235671261, Tiempo de iteracion: 30.674675941467285,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.320231444805268, T2:1.5818703919054797, T3:0.744625065411672, FIT:528619.3235671261, Tiempo de iteracion: 31.513465881347656,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.320231444805268, T2:1.5818703919054797, T3:0.744625065411672, FIT:528619.3235671261, Tiempo de iteracion: 31.692051649093628,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.320231444805268, T2:1.5818703919054797, T3:0.744625065411672, FIT:528619.3235671261, Tiempo de iteracion: 32.02393364906311,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.320231444805268, T2:1.5818703919054797, T3:0.744625065411672, FIT:528619.3235671261, Tiempo de iteracion: 31.61111807823181,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2580176327329367, T2:2.3285838531866423, T3:1.4742979894931116, FIT:528153.3760105675, Tiempo de iteracion: 31.50389528274536,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2580176327329367, T2:2.3285838531866423, T3:1.4742979894931116, FIT:528153.3760105675, Tiempo de iteracion: 31.672695875167847,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2580176327329367, T2:2.3285838531866423, T3:1.4742979894931116, FIT:528153.3760105675, Tiempo de iteracion: 31.71418023109436,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.647929906845093,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.897701501846313,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.807124853134155,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.315735578536987,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.804358959197998,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 32.10584592819214,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.954432487487793,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.446524620056152,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2619805216389506, T2:2.3264161490853077, T3:1.4614970164017707, FIT:528085.068944869, Tiempo de iteracion: 31.909798860549927,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.249031640690461, T2:2.3614755169565855, T3:1.4557417712685838, FIT:528040.0735632373, Tiempo de iteracion: 31.88667392730713,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.249031640690461, T2:2.3614755169565855, T3:1.4557417712685838, FIT:528040.0735632373, Tiempo de iteracion: 31.700193405151367,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2461866588138784, T2:2.355057523913599, T3:1.4248715478672107, FIT:528013.0202575516, Tiempo de iteracion: 31.320301294326782,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2461866588138784, T2:2.355057523913599, T3:1.4248715478672107, FIT:528013.0202575516, Tiempo de iteracion: 31.383699417114258,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.2461866588138784, T2:2.355057523913599, T3:1.4248715478672107, FIT:528013.0202575516, Tiempo de iteracion: 31.557669401168823,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.2461866588138784, T2:2.355057523913599, T3:1.4248715478672107, FIT:528013.0202575516, Tiempo de iteracion: 31.881778955459595,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.2461866588138784, T2:2.355057523913599, T3:1.4248715478672107, FIT:528013.0202575516, Tiempo de iteracion: 31.919797897338867,
