CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.1728408108134514, T2: 2.1638975354119605, T3: 2.636656373277124, FIT: 539037.3160822847, Tiempo de Poblacion: 15.0086989402771,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.8974309842972324, T2: 0.9195567663429409, T3: 1.664548745803348, FIT: 540780.6468559543, Tiempo de Poblacion: 5.176495552062988,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.2889501545651648, T2: 1.3899625333480141, T3: 1.4565387479675236, FIT: 539956.4996261728, Tiempo de Poblacion: 5.09405779838562,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.578382441039501, T2: 0.8718026248030152, T3: 1.9389385302139923, FIT: 542061.0282424161, Tiempo de Poblacion: 5.090741395950317,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.8618146954884554, T2: 0.6458159954674006, T3: 1.1269620847194242, FIT: 537760.5061913842, Tiempo de Poblacion: 5.025592803955078,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.6030707611694465, T2: 1.556255191290016, T3: 1.324893033003241, FIT: 542257.1218718382, Tiempo de Poblacion: 5.079036474227905,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.26231784186574447, T2: 0.7457413654396535, T3: 1.6171686752534207, FIT: 543952.772375461, Tiempo de Poblacion: 5.070430755615234,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.6989174398867206, T2: 0.21664120692797417, T3: 1.7954785374556874, FIT: 532442.778123462, Tiempo de Poblacion: 5.159110069274902,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.1656961617995751, T2: 1.3653977653555631, T3: 2.660516730969479, FIT: 530282.0803114199, Tiempo de Poblacion: 5.207458257675171,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.2437341580220158, T2: 0.2035873037522889, T3: 0.31150315171018067, FIT: 553281.4062079609, Tiempo de Poblacion: 5.064253568649292,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1656961617995751, T2:1.3653977653555631, T3:2.660516730969479, FIT:530282.0803114199, Tiempo de iteracion: 29.99719500541687,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1656961617995751, T2:1.3653977653555631, T3:2.660516730969479, FIT:530282.0803114199, Tiempo de iteracion: 29.884183883666992,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1663396568061986, T2:1.3466511841922926, T3:2.5357693315967715, FIT:528090.9011037898, Tiempo de iteracion: 29.8787260055542,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1663396568061986, T2:1.3466511841922926, T3:2.5357693315967715, FIT:528090.9011037898, Tiempo de iteracion: 30.979883909225464,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.155496821336765, T2:1.3265689673514909, T3:2.525020635244928, FIT:527763.0902685019, Tiempo de iteracion: 29.561379432678223,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 31.241225004196167,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 31.27291774749756,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 31.528260707855225,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 31.789102792739868,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.13861060142517,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 31.91787075996399,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.607118368148804,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.877504110336304,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.577025413513184,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.455995321273804,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.699357986450195,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.39829897880554,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.83601713180542,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 33.23544979095459,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.39533710479736,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.382817029953,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.598947048187256,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.66680383682251,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1596229100705546, T2:1.3357141721336838, T3:2.496087678707218, FIT:527752.8913752144, Tiempo de iteracion: 32.67263579368591,
