CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.8396475709078794, T2: 0.8175420701526103, T3: 0.9508288275019154, FIT: 540887.6221709155, Tiempo de Poblacion: 16.838220834732056,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.568790128293579, T2: 1.6644955476834333, T3: 0.09954778949626156, FIT: 533308.7125167589, Tiempo de Poblacion: 5.470511198043823,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.7206398386253388, T2: 0.21813692130613077, T3: 1.4106261534895772, FIT: 532288.4331397269, Tiempo de Poblacion: 5.388490676879883,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.4217607712280014, T2: 1.1107704622602395, T3: 1.5082988819665046, FIT: 539147.4780302016, Tiempo de Poblacion: 5.544378995895386,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.5490159809754538, T2: 0.5422379235899512, T3: 0.5272791179655955, FIT: 560339.3498762556, Tiempo de Poblacion: 5.56638503074646,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.7672264997108063, T2: 0.5046516926084434, T3: 1.149434332346464, FIT: 541877.9171644052, Tiempo de Poblacion: 5.253474235534668,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.23793563077939123, T2: 1.5903064692543145, T3: 1.360570993428899, FIT: 540677.3689188986, Tiempo de Poblacion: 6.415481090545654,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.8518743285950201, T2: 0.47330447125248504, T3: 1.0767593731968579, FIT: 551679.250605487, Tiempo de Poblacion: 5.916106462478638,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.683135509735232, T2: 1.459672931737962, T3: 0.2257023204105721, FIT: 532387.9231531344, Tiempo de Poblacion: 5.8489320278167725,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.6608727080085017, T2: 0.5468565806242999, T3: 2.122470825090136, FIT: 533374.234479291, Tiempo de Poblacion: 5.804247140884399,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.7206398386253388, T2:0.21813692130613077, T3:1.4106261534895772, FIT:532288.4331397269, Tiempo de iteracion: 34.84658432006836,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.7206398386253388, T2:0.21813692130613077, T3:1.4106261534895772, FIT:532288.4331397269, Tiempo de iteracion: 34.128416299819946,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.690911389101141, T2:0.21844411019892368, T3:1.4070594887612908, FIT:532183.7257385988, Tiempo de iteracion: 32.287580490112305,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.690911389101141, T2:0.21844411019892368, T3:1.4070594887612908, FIT:532183.7257385988, Tiempo de iteracion: 33.56583523750305,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.6090326892574356, T2:0.2108641239182128, T3:1.41228379667685, FIT:531938.242470151, Tiempo de iteracion: 32.84243130683899,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.6090326892574356, T2:0.2108641239182128, T3:1.41228379667685, FIT:531938.242470151, Tiempo de iteracion: 33.43266153335571,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.6090326892574356, T2:0.2108641239182128, T3:1.41228379667685, FIT:531938.242470151, Tiempo de iteracion: 34.218127965927124,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.6090326892574356, T2:0.2108641239182128, T3:1.41228379667685, FIT:531938.242470151, Tiempo de iteracion: 35.51068878173828,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.5536436456246252, T2:0.5565569551870486, T3:2.359803297707229, FIT:531337.846250756, Tiempo de iteracion: 35.1892876625061,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.5536436456246252, T2:0.5565569551870486, T3:2.359803297707229, FIT:531337.846250756, Tiempo de iteracion: 35.56277775764465,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.5745117939261826, T2:0.5566683981977114, T3:2.356068851681406, FIT:531332.4487381753, Tiempo de iteracion: 35.84769082069397,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.5745117939261826, T2:0.5566683981977114, T3:2.356068851681406, FIT:531332.4487381753, Tiempo de iteracion: 37.009881258010864,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.5745117939261826, T2:0.5566683981977114, T3:2.356068851681406, FIT:531332.4487381753, Tiempo de iteracion: 37.593246936798096,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.5745117939261826, T2:0.5566683981977114, T3:2.356068851681406, FIT:531332.4487381753, Tiempo de iteracion: 35.82454037666321,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.5745117939261826, T2:0.5566683981977114, T3:2.356068851681406, FIT:531332.4487381753, Tiempo de iteracion: 35.437724113464355,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.5745117939261826, T2:0.5566683981977114, T3:2.356068851681406, FIT:531332.4487381753, Tiempo de iteracion: 35.02395033836365,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.5745117939261826, T2:0.5566683981977114, T3:2.356068851681406, FIT:531332.4487381753, Tiempo de iteracion: 35.46768045425415,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.76579523086548,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.56222939491272,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.51339149475098,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 36.006256341934204,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.43875074386597,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 34.86774754524231,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 34.93590831756592,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.55700874328613,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.42586922645569,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.45948934555054,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.1027410030365,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.358832120895386,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 35.22353768348694,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.575713032667239, T2:0.5503098993904002, T3:2.3556112316784814, FIT:531306.046712686, Tiempo de iteracion: 36.96232056617737,
