CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.8956642080864896, T2: 0.7558932130659896, T3: 1.858175113693098, FIT: 531091.1382366364, Tiempo de Poblacion: 14.803795337677002,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.905123064044111, T2: 0.8169676415183413, T3: 2.754602713806524, FIT: 533475.305083053, Tiempo de Poblacion: 5.047021865844727,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.0914249923113333, T2: 1.721881233846929, T3: 0.6999257524784004, FIT: 540004.9637902625, Tiempo de Poblacion: 4.817715644836426,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.4297031145349117, T2: 1.4944353757867705, T3: 1.1092368647730941, FIT: 537523.6649310761, Tiempo de Poblacion: 4.937758207321167,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.6244513750118403, T2: 0.10113447514099057, T3: 0.11853521002676862, FIT: 549113.0197109126, Tiempo de Poblacion: 4.721341848373413,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.5035662984826073, T2: 0.9701178640801161, T3: 2.4371662131678913, FIT: 538816.1067429403, Tiempo de Poblacion: 5.011658668518066,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.34847795658015396, T2: 0.10848972614420282, T3: 2.5995542732326467, FIT: 535013.4580210248, Tiempo de Poblacion: 4.966285705566406,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.6970909654792266, T2: 0.8454266708304796, T3: 2.318399596053598, FIT: 531867.247166675, Tiempo de Poblacion: 5.03759765625,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.271864545279588, T2: 2.4674695409581213, T3: 0.5708093331847263, FIT: 535333.691245129, Tiempo de Poblacion: 4.9428391456604,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.659107507484057, T2: 1.2913870376157826, T3: 1.2464055153050988, FIT: 534579.3701052695, Tiempo de Poblacion: 4.908783674240112,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.8956642080864896, T2:0.7558932130659896, T3:1.858175113693098, FIT:531091.1382366364, Tiempo de iteracion: 30.858538150787354,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.8956642080864896, T2:0.7558932130659896, T3:1.858175113693098, FIT:531091.1382366364, Tiempo de iteracion: 30.13362407684326,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.6687179894170168, T2:0.8720747602131084, T3:2.3205836197974956, FIT:529207.0349328544, Tiempo de iteracion: 30.072006702423096,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.6687179894170168, T2:0.8720747602131084, T3:2.3205836197974956, FIT:529207.0349328544, Tiempo de iteracion: 29.812230348587036,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:1.6687179894170168, T2:0.8720747602131084, T3:2.3205836197974956, FIT:529207.0349328544, Tiempo de iteracion: 29.398386240005493,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.899420894741322, T2:0.8399910674262422, T3:2.7475968655856415, FIT:527888.4133813061, Tiempo de iteracion: 29.513556003570557,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.899420894741322, T2:0.8399910674262422, T3:2.7475968655856415, FIT:527888.4133813061, Tiempo de iteracion: 29.572509050369263,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.899420894741322, T2:0.8399910674262422, T3:2.7475968655856415, FIT:527888.4133813061, Tiempo de iteracion: 29.50851535797119,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.899420894741322, T2:0.8399910674262422, T3:2.7475968655856415, FIT:527888.4133813061, Tiempo de iteracion: 30.033387660980225,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9141265231206346, T2:0.8434012175329141, T3:2.7734774359162273, FIT:527472.5178875002, Tiempo de iteracion: 29.366380214691162,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9141265231206346, T2:0.8434012175329141, T3:2.7734774359162273, FIT:527472.5178875002, Tiempo de iteracion: 30.471165418624878,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9141265231206346, T2:0.8434012175329141, T3:2.7734774359162273, FIT:527472.5178875002, Tiempo de iteracion: 30.363300800323486,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9141265231206346, T2:0.8434012175329141, T3:2.7734774359162273, FIT:527472.5178875002, Tiempo de iteracion: 30.710543632507324,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9141265231206346, T2:0.8434012175329141, T3:2.7734774359162273, FIT:527472.5178875002, Tiempo de iteracion: 31.277167081832886,
