ITERACION:,9,P1,1,P2,3,P3,2,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 34.11893606185913,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 33.67486095428467,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 32.760074853897095,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 33.028966188430786,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 33.81284809112549,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 36.183056354522705,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 37.7255744934082,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 39.22014856338501,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.114946958104166, T2:0.5921427693835173, T3:2.039732731424022, FIT:530305.8912741175, Tiempo de iteracion: 35.735069036483765,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.126102709968944, T2:0.5907487681690995, T3:2.032653310911888, FIT:530277.262548572, Tiempo de iteracion: 36.18617606163025,
