CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.456370723722942, T2: 2.353369394350922, T3: 2.684144710994211, FIT: 538961.9929193315, Tiempo de Poblacion: 14.981186389923096,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.1229070438836435, T2: 1.0894480810406868, T3: 1.3588825716216453, FIT: 544390.6922363673, Tiempo de Poblacion: 5.132371664047241,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7732794142407338, T2: 0.8253119728898556, T3: 1.13311467456487, FIT: 550484.0953124102, Tiempo de Poblacion: 5.150162220001221,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.0728482178936518, T2: 0.6821891910084917, T3: 0.358610580253769, FIT: 557074.4215754863, Tiempo de Poblacion: 5.116359710693359,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.9643924371612458, T2: 1.425282390887081, T3: 0.8211132410214302, FIT: 540818.6527425918, Tiempo de Poblacion: 5.021414756774902,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.6405019386329793, T2: 1.8672537209911568, T3: 2.171370519190126, FIT: 533030.560380233, Tiempo de Poblacion: 5.222276210784912,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.750553012025239, T2: 1.2898119473903231, T3: 1.5920208532073745, FIT: 530125.3632132369, Tiempo de Poblacion: 5.295042514801025,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.880837061949479, T2: 0.3564230383143624, T3: 0.776969284236474, FIT: 544909.8335958036, Tiempo de Poblacion: 5.115523099899292,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.2414552271695223, T2: 2.31468947998072, T3: 0.14622823007805386, FIT: 537420.8213711005, Tiempo de Poblacion: 5.014371395111084,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.9642751983607785, T2: 2.386590034636599, T3: 0.8663739771975087, FIT: 534460.7678678122, Tiempo de Poblacion: 5.151682138442993,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.750553012025239, T2:1.2898119473903231, T3:1.5920208532073745, FIT:530125.3632132369, Tiempo de iteracion: 33.231520891189575,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.750553012025239, T2:1.2898119473903231, T3:1.5920208532073745, FIT:530125.3632132369, Tiempo de iteracion: 33.18294548988342,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.750553012025239, T2:1.2898119473903231, T3:1.5920208532073745, FIT:530125.3632132369, Tiempo de iteracion: 32.3462188243866,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.750553012025239, T2:1.2898119473903231, T3:1.5920208532073745, FIT:530125.3632132369, Tiempo de iteracion: 31.798372507095337,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:2.750553012025239, T2:1.2898119473903231, T3:1.5920208532073745, FIT:530125.3632132369, Tiempo de iteracion: 32.31657648086548,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 32.976616621017456,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 32.041508197784424,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 33.386310338974,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 33.257904052734375,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 33.64237070083618,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.20752668380737,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 33.6496901512146,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.1832594871521,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.548473596572876,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 33.9201295375824,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 35.028217792510986,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.47775149345398,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.21205258369446,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.30152082443237,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.01032495498657,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 33.684508085250854,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.01747274398804,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.29498219490051,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.16745686531067,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.095301151275635,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731293846750367, T2:1.2767102373151578, T3:1.6224519190119884, FIT:530031.6517140764, Tiempo de iteracion: 34.14670968055725,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.7167722066554103, T2:1.2668079419950176, T3:1.6205113167637524, FIT:529849.0838348026, Tiempo de iteracion: 33.92586898803711,
