CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.8978388131608204, T2: 1.0717095331320363, T3: 0.8641900270162923, FIT: 536866.0145014597, Tiempo de Poblacion: 14.994973421096802,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.9476581378210821, T2: 1.4189766709716103, T3: 0.14799934874683718, FIT: 544715.7186465472, Tiempo de Poblacion: 4.98158597946167,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.5620093097161865, T2: 1.2562278261756314, T3: 2.437902293319664, FIT: 535082.4305707245, Tiempo de Poblacion: 4.975795030593872,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7785011477678188, T2: 0.9875177187610669, T3: 0.43363090786714537, FIT: 552411.1332305946, Tiempo de Poblacion: 4.8408825397491455,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.4526062745186639, T2: 2.081000921037785, T3: 1.4989050068320302, FIT: 529205.8596189333, Tiempo de Poblacion: 5.237640619277954,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.16596595783216872, T2: 2.4158744708693494, T3: 2.6886014361851562, FIT: 538139.1527601747, Tiempo de Poblacion: 5.074899435043335,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.3857398253864046, T2: 0.7717601131264433, T3: 0.2790098745043025, FIT: 537734.2218160265, Tiempo de Poblacion: 5.07762885093689,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.2040201229740544, T2: 0.830916524232346, T3: 1.6104465276456728, FIT: 529326.919827273, Tiempo de Poblacion: 4.993463516235352,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.6508330437739445, T2: 0.39218824086761994, T3: 1.8752143296646266, FIT: 544436.5575690174, Tiempo de Poblacion: 5.096423149108887,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.3144139681029074, T2: 0.2941574600151698, T3: 1.7997459729410068, FIT: 545629.7991009665, Tiempo de Poblacion: 5.020846128463745,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:1.4526062745186639, T2:2.081000921037785, T3:1.4989050068320302, FIT:529205.8596189333, Tiempo de iteracion: 30.04113459587097,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.561119303449376, T2:1.3930648556749192, T3:2.4598008877690667, FIT:528951.256686665, Tiempo de iteracion: 30.158548831939697,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.5621702140610765, T2:1.3917018364200004, T3:2.4698447729226536, FIT:528850.6194675997, Tiempo de iteracion: 29.2293062210083,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 29.26197862625122,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 30.0188729763031,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 28.980954885482788,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 29.08503746986389,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 29.12077260017395,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 29.252967596054077,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 30.340612649917603,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.562187970031675, T2:1.4099663546829446, T3:2.4564732292300513, FIT:528827.8751591184, Tiempo de iteracion: 30.496397733688354,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.260767656741839, T2:0.8370022153725994, T3:1.6147361238021745, FIT:528650.836755776, Tiempo de iteracion: 31.63603925704956,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.260767656741839, T2:0.8370022153725994, T3:1.6147361238021745, FIT:528650.836755776, Tiempo de iteracion: 31.256572246551514,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.260767656741839, T2:0.8370022153725994, T3:1.6147361238021745, FIT:528650.836755776, Tiempo de iteracion: 31.459306240081787,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.260767656741839, T2:0.8370022153725994, T3:1.6147361238021745, FIT:528650.836755776, Tiempo de iteracion: 32.454378843307495,
