ITERACION:,9,P1,1,P2,2,P3,3,T1:0.662886022905879, T2:2.193968298047784, T3:1.966217099844744, FIT:529239.5907480738, Tiempo de iteracion: 31.844614028930664,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.6599732170848938, T2:2.1885760656356945, T3:1.9561047158951588, FIT:529188.0413990644, Tiempo de iteracion: 31.10611653327942,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 31.252294063568115,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 31.3737530708313,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 31.78725528717041,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 31.588610649108887,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 31.41703462600708,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 31.425678491592407,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 31.75302815437317,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.66172325671977, T2:2.1911447189046958, T3:1.9476685133167344, FIT:529162.6194070695, Tiempo de iteracion: 32.09538412094116,
