CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.7890015060361308, T2: 0.22989043095535097, T3: 2.5492278086245728, FIT: 532841.5567172337, Tiempo de Poblacion: 14.6487877368927,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.6535868060797556, T2: 0.518134887541579, T3: 1.4243451595471777, FIT: 526852.4461639532, Tiempo de Poblacion: 5.080190896987915,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.3320372072236772, T2: 2.234305962105759, T3: 2.2419913992311513, FIT: 536685.7655007058, Tiempo de Poblacion: 4.847530126571655,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.3350198768299466, T2: 1.9932769334163074, T3: 0.7300351498307573, FIT: 534431.4021515631, Tiempo de Poblacion: 4.888164281845093,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.43090605461684695, T2: 2.3361685495722284, T3: 2.6141570749855463, FIT: 538416.3889284532, Tiempo de Poblacion: 4.9599995613098145,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.5368684248174416, T2: 0.33278790186633267, T3: 2.44988125562406, FIT: 528838.7831962431, Tiempo de Poblacion: 4.84895396232605,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.439215397292899, T2: 1.1912396014351607, T3: 0.20259604785008256, FIT: 542638.6233800512, Tiempo de Poblacion: 4.86345648765564,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.7244768182647587, T2: 2.15987037675253, T3: 0.9714081667858597, FIT: 531456.4580370785, Tiempo de Poblacion: 4.8707685470581055,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.653011301393015, T2: 2.394806072858808, T3: 1.4552263892730808, FIT: 531511.6230629786, Tiempo de Poblacion: 4.9569947719573975,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.3636002796561135, T2: 1.7246771371202558, T3: 0.9716812076977884, FIT: 538485.1005701047, Tiempo de Poblacion: 4.776533126831055,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6535868060797556, T2:0.518134887541579, T3:1.4243451595471777, FIT:526852.4461639532, Tiempo de iteracion: 30.425108432769775,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6535868060797556, T2:0.518134887541579, T3:1.4243451595471777, FIT:526852.4461639532, Tiempo de iteracion: 30.180338382720947,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6535868060797556, T2:0.518134887541579, T3:1.4243451595471777, FIT:526852.4461639532, Tiempo de iteracion: 28.949408292770386,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6535868060797556, T2:0.518134887541579, T3:1.4243451595471777, FIT:526852.4461639532, Tiempo de iteracion: 28.118978261947632,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6535868060797556, T2:0.518134887541579, T3:1.4243451595471777, FIT:526852.4461639532, Tiempo de iteracion: 28.22328472137451,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6535868060797556, T2:0.518134887541579, T3:1.4243451595471777, FIT:526852.4461639532, Tiempo de iteracion: 28.2172212600708,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 28.022501468658447,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 28.1651713848114,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 29.867554903030396,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 29.619048833847046,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 30.905458450317383,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 30.633755445480347,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 30.621215105056763,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.334805727005005,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.111323356628418,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.190303325653076,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.945706367492676,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.92514967918396,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.773234844207764,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.663103818893433,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.959036827087402,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 31.798118352890015,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 36.98883867263794,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 39.14670491218567,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 39.00555729866028,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 38.57589149475098,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 39.028289556503296,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 39.09232187271118,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 38.629881858825684,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 38.72606635093689,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.636878260812717, T2:0.5136666834751199, T3:1.417333105842849, FIT:526649.9566153701, Tiempo de iteracion: 38.712082624435425,
